"Cif (S)","Ventas (N)","Año ventas (S)","Capital social (N)","Cargo principal (S)","Cnae (S)","Domicilio social (S)","Email (S)","Empleados (N)","Fax (S)","Fecha fundacion (S)","Fecha ult. balance (S)","Forma juridica (S)","Localidad (S)","Nombre (S)","Nombre comercial (S)","Situacion (S)","Telefono (S)","Web (S)","tipo (S)"
"B64418312","35703279.46","2017","3015000","LOPEZ LLINAS, DELFI","6810 - Compraventa de bienes inmobiliarios por cuenta propia","AVENIDA VILAFRANCA DEL PENEDES, 11 - A PISO 1","comptabilitat@serestaslp.cat","0","Desconocido","2006-12-12","2017-12-31","SOCIEDAD LIMITADA","08734 OLERDOLA (Barcelona)","CODELFE PENEDES 2006 SL","Desconocido","Activa","[938920092]","Desconocido","mediana"
"B64475676","14534922.61","2018","3010","GARCIA JORDA GOMEZ, RAUL","4329 - Otras instalaciones en obras de construcción","CALLE EDUARD MARISTANY, 364","info@sinergiagrup.com","49","Desconocido","2007-02-20","2018-12-31","SOCIEDAD LIMITADA","08918 BADALONA (Barcelona)","SINERGIA SERVEIS CONSTRUCTIUS SL","Desconocido","Activa","[933206955]","['www.sinergiagrup.com']","pequeña"
"B64801962","4665987.56","2018","3006","GARCIA VALLEJO, DANIEL","4121 - Construcción de edificios residenciales","CALLE HOSPITALET, 11 - PB 2","fachadaszaren@fachadaszaren.com","15","Desconocido","2008-02-07","2018-12-31","SOCIEDAD LIMITADA","08980 SANT FELIU DE LLOBREGAT (Barcelona)","FACHADAS ZAREN SL","Desconocido","Activa","[934770214]","['www.fachadaszaren.com']","pequeña"
"B65341075","4276028.75","2017","1000000","FAJULA CHOPO, JOSEP","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE VIA DE LAS DOS CASTILLAS, 7","madrid@ocaglobal.com","56","[913521808]","2010-05-13","2017-12-31","SOCIEDAD LIMITADA","28224 POZUELO DE ALARCON (Madrid)","OCA INSTITUTO DE CERTIFICACION SL.","Desconocido","Activa","[917994800]","['www.ocaglobal.com']","mediana"
"B65472789","5274848.28","2018","74074","ABAD MORRON, RAUL","7111 - Servicios técnicos de arquitectura","CALLE ROGER DE LLURIA, 128 - PISO 4. PTA 3","j.serra@aprotecnic.com","60","[933807426]","2011-01-01","2018-12-31","SOCIEDAD LIMITADA","08037 BARCELONA (Barcelona)","APROTECNIC GROUP SL.","Desconocido","Activa","[933185900, 936671388]","Desconocido","mediana"
"B65520876","3634487","2018","3006","EMERGIA CONTACT CENTER SL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE AVILA, 60 - 64","sberenguer@emergiacc.com","134","Desconocido","2011-02-28","2018-12-31","SOCIEDAD LIMITADA","08005 BARCELONA (Barcelona)","EMERGIA EXCELLENCE SL.","Desconocido","Activa","[931832600]","['www.emergiacc.com']","mediana"
"B65866006","12221043.38","2018","184500","AGUILAR VILLAJOS, JAVIER","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CARRETERA LAUREA MIRO, 401 - NAV 6","estudios@itrade.es","37","[933357163]","2012-09-06","2018-12-31","SOCIEDAD LIMITADA","08980 SANT FELIU DE LLOBREGAT (Barcelona)","INFRAESTRUCTURAS TRADE SL.","Desconocido","Activa","[933359700]","['http://www.infraestructurastrade.com']","mediana"
"B65895849","2643359.58","2017","62944","SILVA GARCIA, XAVIER","6201 - Actividades de programación informática","CALLE D'ESTEVE TERRADAS, 1","Desconocido","82","Desconocido","2012-10-25","2017-12-31","SOCIEDAD LIMITADA","08860 CASTELLDEFELS (Barcelona)","HEMAV TECHNOLOGY S.L.","Desconocido","Activa","Desconocido","['www.hemav.com']","mediana"
"B66442518","733321.85","2016","3000","SA SILVA, MICHEL EMMANUEL","4321 - Instalaciones eléctricas","CALLE DO PROGRESO, 113 - ENTRADA CL ERVEDELO, N 4","Desconocido","20","Desconocido","2015-01-02","2016-12-31","SOCIEDAD LIMITADA","32003 OURENSE (Orense)","FAST TECHNOLOGY SL.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B66596438","4851758.32","2018","3000","YESTE SAEZ, ANTONIO","4399 - Otras actividades de construcción especializada n.c.o.p.","CALLE SANT GAIETA, 124 - LOC","Desconocido","139","Desconocido","2015-07-29","2018-12-31","SOCIEDAD LIMITADA","08221 TERRASSA (Barcelona)","YESTE CIVIL SL.","Desconocido","Activa","Desconocido","Desconocido","mediana"
"B70077896","7304074.48","2018","30000","GARCIA ROLDAN, MANUEL IGNACIO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE COPERNICO, 7 - LOCA","administracion@qatro-elec.com","55","Desconocido","2006-11-02","2018-12-31","SOCIEDAD LIMITADA","15008 A CORUÑA (La Coruña)","QATRO-ELEC-INGENIERIA Y SERVICIOS ELECTRICOS INDUSTRIALES SL","['QATRO - ELEC ISEI']","Activa","[881873813]","['www.qatro-elec.com']","mediana"
"B70087788","10377960.67","2018","6240","PONTEVIRIS GESTION S.L","4121 - Construcción de edificios residenciales","CALLE MARISQUEIRA, 52","administracion@ofimor.com","40","[981612598]","2007-01-09","2018-12-31","SOCIEDAD LIMITADA","15180 CULLEREDO (La Coruña)","OFIMOR-EQUIPAMIENTOS SL","Desconocido","Activa","[981612598]","['www.ofimor.com']","pequeña"
"B70218185","39231954.93","2018","126000","COLLAZO ESMORIS, GERARDO","4121 - Construcción de edificios residenciales","CALLE ABOGACIA, 5","administracion@desarrolla.es","115","[881895723]","2009-07-16","2018-12-31","SOCIEDAD LIMITADA","15006 A CORUÑA (La Coruña)","DESARROLLA OBRAS Y SERVICIOS SL.","['DESARROLLA']","Activa","[881962312]","['www.desarrolla.es']","mediana"
"B70252408","11814889.49","2018","60000","CIS GARANT SL","4399 - Otras actividades de construcción especializada n.c.o.p.","CALLE MARIA ANGELES LA GANDARA'CHOCHA BESCANSA, 22","info@wind1000.com","135","Desconocido","2010-05-26","2018-12-31","SOCIEDAD LIMITADA","15890 SANTIAGO DE COMPOSTELA (La Coruña)","WIND1000-SERVICES SL.","['WIND1000 SERVICES']","Activa","[981106830]","['www.wind1000.com']","mediana"
"B70285085","2083786.38","2018","230000","NAVEIRA GUERREIRO, JOSE MANUEL","4121 - Construcción de edificios residenciales","POLIGONO INDUSTRIAL RIO DO POZO, NAVE 2","gonnaba@gonnaba.com","27","Desconocido","2011-03-03","2018-12-31","SOCIEDAD LIMITADA","15573 NARON (La Coruña)","GONNABA CONSTRUCCIONES Y REFORMAS SL","Desconocido","Activa","[981389382]","['www.gonnaba.com']","pequeña"
"B70304670","5553699.39","2018","3000","RICO NUÑEZ, ESTEBAN","6910 - Actividades jurídicas","CALLE CORDELERIA, 32 - PISO 1º4º5º","s.vigo@emais.es","192","Desconocido","2011-09-02","2018-12-31","SOCIEDAD LIMITADA","15003 A CORUÑA (La Coruña)","EMAIS SERVICIOS INTEGRALES SL.","Desconocido","Activa","[902570473]","['www.emais.es']","mediana"
"B70311634","5353507.4","2018","260000","PARDO LONGUEIRA, LUZ DIVINA","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","POLIGONO INDUSTRIAL PENAPURREIRA, Nº 1 PAR DE EQUIPACION","info@grupogestan.net","34","Desconocido","2011-11-10","2018-12-31","SOCIEDAD LIMITADA","15320 AS PONTES DE GARCIA RODRIGUEZ (La Coruña)","INTACTA GESTION AMBIENTAL SL.","['INTACTA GESTION AMBIENTAL']","Activa","[981758519]","['www.intacta.es']","pequeña"
"B70349162","2340469.45","2018","3010","CARRIL CASTRO, ADRIAN","4321 - Instalaciones eléctricas","CALLE DA PONTE DO ROMAÑO, 14","Desconocido","41","Desconocido","2012-10-22","2018-12-31","SOCIEDAD LIMITADA","15898 SANTIAGO DE COMPOSTELA (La Coruña)","AXILTEC INSTALACIONES Y MANTENIMINETOS SL.","Desconocido","Activa","[981582588]","Desconocido","pequeña"
"B70370820","21290619.25","2018","102000","MARTINEZ DE SANTOS, PEDRO LUIS","4329 - Otras instalaciones en obras de construcción","POLIGONO INDUSTRIAL, PAR A 10","info@anerpro.com","107","[981302519]","2013-04-26","2018-12-31","SOCIEDAD LIMITADA","15165 BERGONDO (La Coruña)","ANERPRO ENERGIA Y PROCESO SL.","Desconocido","Activa","[981302520]","['www.anerpro.com']","mediana"
"B70513171","789411","2018","3000","GONZALEZ CAMPOS, ANA BELEN","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","AVENIDA DA PRAIA, 133 - NAV 7","administracion@grupogoncaman.com","17","Desconocido","2017-01-26","2018-12-31","SOCIEDAD LIMITADA","15142 ARTEIXO (La Coruña)","GONCAMAN TEMPORING SL.","Desconocido","Activa","[881129931]","Desconocido","mediana"
"B73013898","388000","2018","1333044.59","GONZALEZ PEREZ, JOSE","4110 - Promoción inmobiliaria","AVENIDA BENIEL, 11","info@urbanizacioncostacalida.com","1","[968851798]","1998-12-03","2018-12-31","SOCIEDAD LIMITADA","30580 MURCIA (Murcia)","URBANIZACION COSTA CALIDA SL","Desconocido","Activa","Desconocido","['www.urbanizacioncostacalida.com']","pequeña"
"B73089542","16158000","2018","1300000","API MOVILIDAD SA","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","POLIGONO INDUSTRIAL OESTE, 13 - 3","Desconocido","72","[968826140]","2000-06-20","2018-12-31","SOCIEDAD LIMITADA","30820 ALCANTARILLA (Murcia)","ECOCIVIL ELECTROMUR GE SL","Desconocido","Activa","[968826153, 918803891]","Desconocido","mediana"
"B73550535","996976.5","2018","18000","GARCIA SANCHEZ, SEGUNDO","4121 - Construcción de edificios residenciales","AVENIDA PRIMERO DE MAYO, 6 - PISO E","Desconocido","40","Desconocido","2007-11-13","2018-12-31","SOCIEDAD LIMITADA","30420 CALASPARRA (Murcia)","NADIR INFRAESTRUCTURAS S.L.","Desconocido","Activa","[968954415]","Desconocido","pequeña"
"B73721938","7787694.5","2018","3300","GARCIA SORO, JOSE LUIS","4121 - Construcción de edificios residenciales","CALLE TOMAS MAESTRE, 1 - PISO 2 A","yolanda@sorkiamediterraneo.com","18","Desconocido","2011-07-15","2018-12-31","SOCIEDAD LIMITADA","30004 MURCIA (Murcia)","SORKIA MEDITERRANEO S.L.","Desconocido","Activa","[968220245, 965321485]","['www.sorkiamediterraneo.com']","pequeña"
"B73811424","1381042","2018","200000","HEREDIA OLMOS, GINES","4222 - Construcción de redes eléctricas y de telecomunicaciones","CALLE PLANO SAN FRANCISCO, 4 - BJ","e.hita@salzillogroup.es","28","[968306454]","2013-09-20","2018-12-31","SOCIEDAD LIMITADA","30004 MURCIA (Murcia)","ALTERNA TECNOLOGIAS SOCIEDAD LIMITADA.","Desconocido","Activa","[968858686]","['www.alternatecno.es']","pequeña"
"B74333303","1166705.05","2016","34980","Desconocido","4321 - Instalaciones eléctricas","AVENIDA SOTO MAYOR, 13 - PISO 3 A","Desconocido","39","Desconocido","2012-10-02","2016-12-31","SOCIEDAD LIMITADA","33100 OVIEDO (Asturias)","INFRAESTRUCTURAS CANALIZACIONES Y VIAS SOCIEDAD LIMITADA.  (EXTINGUIDA)","Desconocido","Extinción","[984059954]","Desconocido","pequeña"
"B74336975","11503551.75","2018","6000","CARREÑO RIESGO, JAVIER","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE PRINCIPE ASTURIAS, 1","administracion@tecniglobalrack.es","7","[985502515]","2013-01-01","2018-12-31","SOCIEDAD LIMITADA","33405 CASTRILLON (Asturias)","TECNI GLOBAL RACK SOCIEDAD LIMITADA.","Desconocido","Activa","[985502514, 985098468]","['www.tecniglobalrack.es']","pequeña"
"B74378324","4662490.46","2018","1299998.57","ECOCONTROL SL","7490 - Otras actividades profesionales, científicas y técnicas n.c.o.p.","LUGAR PARQUE TECNOLOGICO ASTURIAS, 39 - 33428","comun@envira.es","69","[985980051]","2014-11-03","2018-12-31","SOCIEDAD LIMITADA","33424 LLANERA (Asturias)","ENVIRA INGENIEROS ASESORES SOCIEDAD LIMITADA","Desconocido","Activa","[985980050]","['www.envira.es']","mediana"
"B75026625","34213837.12","2017","200000","KOLLMAR MARTIN, ERICH","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","POLIGONO INDUSTRIAL ERRATZU, LOC 438 A","iberica@bellmer.de","43","Desconocido","2010-06-04","2017-12-31","SOCIEDAD LIMITADA","20130 URNIETA (Gipuzkoa)","BELLMER IBERICA MACHINERY SL","Desconocido","Activa","[943694718]","['www.bellmer.de']","pequeña"
"B76538024","1241582.4","2018","6000","RODRIGUEZ ESTEVEZ, ALFREDO","4121 - Construcción de edificios residenciales","CALLE SAN MARTIN, 67 - LOC 1","cyrduque@cyrduque.com","42","Desconocido","2011-03-04","2018-12-31","SOCIEDAD LIMITADA","38001 SANTA CRUZ DE TENERIFE (Tenerife)","CONSTRUCCIONES Y REFORMAS DUQUE SL","Desconocido","Activa","[922275103]","Desconocido","pequeña"
"B80102775","1653014.38","2018","10003","HERNANDEZ LOZANO, ANTONIO","4321 - Instalaciones eléctricas","CALLE VIA DE LOS POBLADOS, 17 - PISO 4 NAV 18","info@ibtm.com","9","[913819979]","1991-07-22","2018-12-31","SOCIEDAD LIMITADA","28033 MADRID (Madrid)","INSTALACIONES BAJA TENSION Y MEDIA TENSION SL","['IBTM. INSTALACIONES DE BAJA TENSION Y MEDIA TENSION S.L.']","Activa","[913817783]","Desconocido","grande"
"B80428972","222946000","2018","2000000","ABAD MARTURET, LUIS EDUARDO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE DE LA LLACUNA, 56 -70, ED A, PISO 7","recepcion@altran.es","2406","[932159660]","1992-09-11","2018-12-31","SOCIEDAD LIMITADA","08005 BARCELONA (Barcelona)","ALTRAN INNOVACION SOCIEDAD LIMITADA","Desconocido","Activa","[932723220, 915504100]","['www.altran.es']","grande"
"B80854227","5936059.43","2018","613633.15","GONZALEZ FERNANDEZ, ANGEL","4321 - Instalaciones eléctricas","CALLE DE LA SIERRA DE GUADARRAMA, 5","instalaciones@foytel.es","160","[916696174]","1994-03-18","2018-12-31","SOCIEDAD LIMITADA","28830 SAN FERNANDO DE HENARES (Madrid)","FOYTEL SL","Desconocido","Activa","[916694273, 927231554]","['www.foytel.es']","pequeña"
"B81041444","97316000","2018","27222430","APPLUS SERVICIOS TECNOLOGICOS SL REPR 143 RRM COELLO BRUFAU JOAQUIN","7120 - Ensayos y análisis técnicos","CALLE CAMPEZO, 1","info@applus.com","1024","Desconocido","1994-12-01","2018-12-31","SOCIEDAD LIMITADA","28022 MADRID (Madrid)","APPLUS ITEUVE TECHNOLOGY SL","Desconocido","Activa","[902932200, 910900816, 917685867, 911290092]","['www.appluscorp.com', 'www.applusiteuve.com']","grande"
"B81378291","610496.28","2018","31773","LOPEZ VENTUREIRA, JUAN JOSE","4399 - Otras actividades de construcción especializada n.c.o.p.","CALLE GAVILAN, 103","info@alcala50.com","4","[914623859]","1996-02-09","2018-12-31","SOCIEDAD LIMITADA","28620 ALDEA DEL FRESNO (Madrid)","ALCALA 50 SL","Desconocido","Activa","[902909941]","['www.alcala50.com']","pequeña"
"B81641052","2610728.34","2018","3005.06","REBOLLO CAMACHO, MARIA DE LOS ANGELES","4399 - Otras actividades de construcción especializada n.c.o.p.","CALLE BRAVO MURILLO, 250 - 1 E","info@furmen2000.com","78","[915723296]","1997-01-02","2018-12-31","SOCIEDAD LIMITADA","28020 MADRID (Madrid)","FURMEN 2000 SL","Desconocido","Activa","[915708411, 915723296]","Desconocido","mediana"
"B81729196","2094374.8","2018","3005.06","CAPILLA BEATO, TERESA","4399 - Otras actividades de construcción especializada n.c.o.p.","CALLE DOCTOR ESQUERDO, 47 - 1 A","info@capitalrehabilitaciones.es","33","Desconocido","1997-05-06","2018-12-31","SOCIEDAD LIMITADA","28028 MADRID (Madrid)","CAPITAL REHABILITACIONES SL","Desconocido","Activa","[915046398]","['www.capitalrehabilitaciones.es']","pequeña"
"B81978215","5894877.72","2018","25000","GOWLAND, DARREN","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE FRUCTUOS GELABERT, 2 - PISO 2 PTA 7","info@rleiberia.es","80","Desconocido","1998-04-01","2018-12-31","SOCIEDAD LIMITADA","08970 SANT JOAN DESPI (Barcelona)","RLE INTERNATIONAL IBERIA SL.","Desconocido","Activa","[934773389]","['www.rleiberia.es']","mediana"
"B82506007","34373143","2015","45810","Desconocido","7111 - Servicios técnicos de arquitectura","PASEO CASTELLANA, 202 - PISO 8","spain.finance@cbre.com","100","[915569690]","2000-01-31","2015-12-31","SOCIEDAD LIMITADA","28046 MADRID (Madrid)","CBRE REAL ESTATE ARQUITECTURA SLU (EXTINGUIDA)","Desconocido","Extinción","[915770664, 915981900]","['www.cbre.com']","mediana"
"B82861048","8153004","2017","12414.78","MARTINEZ BRAVO, EUGENIO","7022 - Otras actividades de consultoría de gestión empresarial","CALLE POETA JOAN MARAGALL, 38 - ED CUZCO 2 . PLT 8-9 IZ","info@kreab.com","75","Desconocido","2000-12-26","2017-12-31","SOCIEDAD LIMITADA","28020 MADRID (Madrid)","KREAB IBERIA SL.","Desconocido","Activa","[917027170]","['www.kreab.com']","mediana"
"B83111252","2261675.85","2018","15050","PASTOR ROMERO, MANUEL","8121 - Limpieza general de edificios","CALLE PUERTO DE MASPALOMAS, 1 - PLANTA 1.PTA. 5","info@gelintec.com","93","[917365314]","2001-09-27","2018-12-31","SOCIEDAD LIMITADA","28029 MADRID (Madrid)","GELINTEC XXI SL","Desconocido","Activa","Desconocido","['www.gelintec.com']","mediana"
"B83216382","10577147.66","2018","100000","GIL LOPEZ, CARLOS IGNACIO","4121 - Construcción de edificios residenciales","CALLE GENERAL ARRANDO, 28","secin@gruposecin.es","27","[913237694]","2002-01-16","2018-12-31","SOCIEDAD LIMITADA","28010 MADRID (Madrid)","INGENIERIA INTEGRADA PARA LA EDIFICACION SL","Desconocido","Activa","[913237690, 918057451]","['www.secingroup.com']","mediana"
"B83286625","3927542.25","2018","51100","JIMENEZ FERNANDEZ, JOSE CARLOS","4121 - Construcción de edificios residenciales","CALLE VIRIATO, 50 - PLT 2 B","gear@gearobrasyconstrucciones.com","22","[917130867]","2002-04-18","2018-11-30","SOCIEDAD LIMITADA","28010 MADRID (Madrid)","GEAR OBRAS Y CONSTRUCCIONES SL","Desconocido","Activa","[917130866, 912198100]","['www.gearobrasyconstrucciones.com']","pequeña"
"B83429720","5051132.63","2018","150000","GARCIA RODRIGUEZ, LUIS MIGUEL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE DE REJAS, 2 - PLANTA 1 OFICINA 6","info@inventiakinetics.com","36","[918706959]","2002-10-03","2018-12-31","SOCIEDAD LIMITADA","28820 COSLADA (Madrid)","INVENTIA KINETICS SL","Desconocido","Activa","[918707095]","['www.inventiakinetics.com']","pequeña"
"B83622100","2145024.74","2017","378006","LOPEZ SANCHEZ, CONRADO","4321 - Instalaciones eléctricas","CALLE DE LAS AMERICAS, 4 - PG INDUST NAV C-4","mfernandez@jmagro.es","26","[917761163]","2003-04-22","2017-12-31","SOCIEDAD LIMITADA","28823 COSLADA (Madrid)","J MAGRO PROYECTOS SL","Desconocido","Concurso","[917764509, 912197831]","['www.jmagro.es', 'www.cecamadrid.com']","pequeña"
"B83680132","5178061.25","2018","120300","ALCIBAR VILLA, LUIS","4321 - Instalaciones eléctricas","CALLE MARQUES DE MONDEJAR, 33","alrubio@elecnor.com","45","[917130817]","2003-06-04","2018-12-31","SOCIEDAD LIMITADA","28028 MADRID (Madrid)","ELECNOR SEGURIDAD SL.","Desconocido","Activa","[917260076, 934139200, 944899100]","['www.elecnor.com']","pequeña"
"B83742080","10621987.27","2018","108752","MARTIN VIZCAINO, PEDRO","4669 - Comercio al por mayor de otra maquinaria y equipo","CALLE MANUEL TOVAR, 36 - 1º IZD","admin@ayscom.com","45","[913768056]","2003-09-04","2018-12-31","SOCIEDAD LIMITADA","28034 MADRID (Madrid)","AYSCOM CELULAR DE SERVICIOS SL","['AYSCOM']","Activa","[913768225]","['www.ayscom.com']","pequeña"
"B84071935","1779769.03","2018","2109375","CAMPONA INV SL","7490 - Otras actividades profesionales, científicas y técnicas n.c.o.p.","CALLE ANTRACITA, 7 - PLANTA 4 OF 17","grupotecopy@grupotecopy.es","15","[915348720]","2004-07-15","2018-12-31","SOCIEDAD LIMITADA","28045 MADRID (Madrid)","GRUPO TECOPY CARTERA EMPRESARIAL SL","Desconocido","Activa","[914560428, 980161008]","['www.grupotecopy.es']","pequeña"
"B84147214","6155426.19","2018","6365000","LOPEZ FERNANDEZ, JOSE LUIS","6831 - Agentes de la propiedad inmobiliaria","CALLE VILLANUEVA, 19 - PISO 1 IZ","Desconocido","18","Desconocido","2004-11-03","2018-12-31","SOCIEDAD LIMITADA","28001 MADRID (Madrid)","TRALOINVER SL","Desconocido","Activa","Desconocido","['www.traloinver.es']","pequeña"
"B84304872","3490949.99","2018","72000","VALERA MARTINEZ, PABLO ANGEL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE SERRANO, 8 - PISO 3 IZ","Desconocido","25","[911460111]","2005-04-04","2018-12-31","SOCIEDAD LIMITADA","28001 MADRID (Madrid)","ASTROM TECHNICAL ADVISORS SL.","Desconocido","Activa","[902678511, 911460110]","['www.atarenewables.com']","pequeña"
"B84378645","16939579.36","2018","38105000","BAGARELLA GLEIM, VALENTIN JOSE","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE DE LA CALENDULA, 95 - MINIPARC II, ED O, OFICINA","info.es@sdvgroup.com","6","[914175643]","2005-06-24","2018-12-31","SOCIEDAD LIMITADA","28109 ALCOBENDAS (Madrid)","SDV ENERGIA E INFRAESTRUCTURA SL.","Desconocido","Activa","[914175642]","['www.sdvgroup.com', 'www.sadeven.com']","mediana"
"B84632025","1657749.66","2018","110000","DE LA PENA DE VEGA, MIGUEL","4121 - Construcción de edificios residenciales","CALLE ALCALA, 155 - 2ºC","obrasciviles@ahelio.es","23","Desconocido","2006-03-03","2018-12-31","SOCIEDAD LIMITADA","28009 MADRID (Madrid)","OBRAS CIVILES AHELIO SL","Desconocido","Activa","[913329179, 914356527]","Desconocido","pequeña"
"B85033918","0","2018","12000","BELINCHON LORENZO, MARIA SOLEDAD","4121 - Construcción de edificios residenciales","AVENIDA INDUSTRIA, 7","Desconocido","0","Desconocido","2007-03-06","2018-12-31","SOCIEDAD LIMITADA","19210 YUNQUERA DE HENARES (Guadalajara)","ULLORTE METAL S.L. (EN LIQUIDACION)","Desconocido","Liquidación concursal","[949104704]","Desconocido","pequeña"
"B85041853","2604407.26","2018","4000","MANTECON SILVA, CESAR","4399 - Otras actividades de construcción especializada n.c.o.p.","PLAZA PUERTO DE LA CRUZ, 2 - LOC 5","info@dresa.es","16","Desconocido","2007-03-21","2018-12-31","SOCIEDAD LIMITADA","28029 MADRID (Madrid)","DRESA OBRAS Y REFORMAS SL.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B85084135","468792271","2018","2500000","MARTIN JIMENEZ, ANTONIO","4121 - Construcción de edificios residenciales","CALLE EMISORA, 20","info@avintia.es","350","[917114871]","2007-04-27","2018-12-31","SOCIEDAD LIMITADA","28224 POZUELO DE ALARCON (Madrid)","AVINTIA PROYECTOS Y CONSTRUCCIONES SL","Desconocido","Activa","[915122711, 915027844, 915027846]","['www.avintia.es']","grande"
"B85397339","5899883.2","2018","30000","JIMENEZ LOPEZ, ALBERTO JESUS","4121 - Construcción de edificios residenciales","CALLE RESINA, 47 - 47 H","info@integragrupo.es","20","Desconocido","2008-03-25","2018-12-31","SOCIEDAD LIMITADA","28021 MADRID (Madrid)","INTEGRA GRUPO INSIDER S.L.","Desconocido","Activa","[916308940, 916302484]","['www.integragrupo.es']","pequeña"
"B85434454","11329450.91","2015","23835","DONOSO PICAPORTE, HUGO","2822 - Fabricación de maquinaria de elevación y manipulación","AVENIDA SUR DEL AEROPUERTO DE BARAJAS, 24 - BL. 5 4º A","info@gind.es","13","[917481865]","2008-05-12","2015-12-31","SOCIEDAD LIMITADA","28042 MADRID (Madrid)","GONDOLAS IN DESIGN SL","Desconocido","Activa","[917481833]","['www.gind.es']","pequeña"
"B85552263","28414679.24","2018","304000","DUARTE CACHINERO, ANTONIO JOSE","4110 - Promoción inmobiliaria","AVENIDA EUROPA, 26 - EDIF. 5 - 3ª PLANTA B","Desconocido","65","[916946247]","2008-10-21","2018-12-31","SOCIEDAD LIMITADA","28224 POZUELO DE ALARCON (Madrid)","ASENTIS PLUS SL.","Desconocido","Activa","[917140435, 911124923]","['www.asentis.es']","mediana"
"B85731776","10978261.68","2018","150000","GALLEGO SANCHEZ BERMEJO, JORGE","4322 - Fontanería, instalaciones de sistemas de calefacción y aire acondicionado","CALLE MARQUES DE MONDEJAR, 29 - 3 PLANTA OF 3","info@danmur.es","16","[913923824]","2009-07-01","2018-12-31","SOCIEDAD LIMITADA","28028 MADRID (Madrid)","DANMUR INSTALACIONES SL","Desconocido","Activa","[917255206]","['www.danmur.es']","mediana"
"B85741353","2040796.47","2018","3100","MERCHAN CABAÑAS, GLORIA","4399 - Otras actividades de construcción especializada n.c.o.p.","AVENIDA JUAN CARLOS I, 64 - PISO 6 C","confobras@confobras.es","37","Desconocido","2009-07-09","2018-12-31","SOCIEDAD LIMITADA","45600 TALAVERA DE LA REINA (Toledo)","CONFOBRAS CONSTRUCCIONES SL.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B85746089","5671214","2018","386804","EVERIS SPAIN SL REPRES PJ DOMINGUEZ HERRERA ALONSO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CAMINO FUENTE DE LA MORA, 1","cperezlo@everis.com","38","Desconocido","2009-07-09","2018-03-31","SOCIEDAD LIMITADA","28050 MADRID (Madrid)","EVERIS INGENIERIA SL.","Desconocido","Activa","[917490101, 914790000]","['www.everis.com']","pequeña"
"B86094034","1289522.28","2018","103950","GEZARA SOLUCIONES INFORMATICAS SL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE BUGANVILLA, 2","Desconocido","16","Desconocido","2010-10-29","2018-12-31","SOCIEDAD LIMITADA","28036 MADRID (Madrid)","SISTEMAS GLOBALES DE INFRAESTRUCTURAS DE TRANSPORTE SL","['UMOVE2']","Activa","[911610790, 914496538, 944987032]","['www.smart2.es']","pequeña"
"B86193927","3915202.44","2018","625000","DEL CASTILLO IGAREDA, JESUS ANTONIO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","PASEO CASTELLANA, 72 - PISO 2","contacto@seysmedioambiente.es","22","[915557479]","2011-04-08","2018-12-31","SOCIEDAD LIMITADA","28046 MADRID (Madrid)","SEYS MEDIOAMBIENTE SL","Desconocido","Activa","[915553279, 915557580]","['www.seysmedioambiente.com']","pequeña"
"B86261633","7279647","2016","512090","GARCIA SAÑUDO DIEZ, ELENA ASCENSION","4122 - Construcción de edificios no residenciales","CALLE VELAZQUEZ, 94","proveedores@colliers.com","3","[918305489]","2011-07-14","2016-12-31","SOCIEDAD LIMITADA","28006 MADRID (Madrid)","AOS SPAIN IBERIA SL. (EN LIQUIDACION)","Desconocido","Disolución","[917004350, 918305492]","['www.colliers.com']","pequeña"
